,mean_abs_shap
embN_087,0.00042980506444759056
embN_074,0.00042834908540288
embN_039,0.00042830087788748054
embN_163,0.0004275005548405025
embN_071,0.000426337319433514
embN_188,0.00042625314067072634
embN_121,0.0004260339867558796
embN_104,0.00041742643915566375
embN_119,0.00041401229500343575
embH_147,0.0004137206772022971
embH_092,0.0004129640485314614
embN_150,0.00041240061749518817
embN_010,0.0004091248648238445
embN_030,0.00040891204380199555
embH_151,0.000406761040237115
embN_064,0.00040607749796484153
embH_110,0.00040512564330506985
embN_129,0.0004037101024318644
embH_009,0.00040368720926433406
embH_221,0.0004036163804747248
embH_069,0.0004031720945852638
embN_034,0.00039963067540019627
embN_171,0.000397052341405957
embH_007,0.0003958709636435344
embH_245,0.0003936149369083277
embN_040,0.0003928766208995636
embH_106,0.0003928022361369978
embH_109,0.00039229101303991953
embN_017,0.0003921119418580751
embH_021,0.00039155730758107005
embH_079,0.00039015542253640294
embH_193,0.00038968538263952024
embH_005,0.00038760660430841795
embN_245,0.00038267082952036743
embN_126,0.00038232136479041866
embH_013,0.0003807271828422412
embH_129,0.00038061883654079713
embN_081,0.00037909584875229883
embH_140,0.0003782715435311792
embH_065,0.0003762037734577776
embH_091,0.00036886981401727787
embH_244,0.00036777024534703925
embH_016,0.0003669245290600768
embH_251,0.0003598355265628545
embH_087,0.00035938720875654636
embH_034,0.00035810737810311515
embN_029,0.00035681787582381137
embH_239,0.0003537208652842442
embH_205,0.0003524174431487091
embH_219,0.0003502452352812086
embH_068,0.00034792088632265453
embN_196,0.0003473839004201481
embN_108,0.0003447028886785375
embN_138,0.0003446473470166306
embH_077,0.00033993277224985037
embH_157,0.00033847319024578695
embH_253,0.00033578417013844125
embN_154,0.0003334513068918717
embN_038,0.0003283779200374663
embH_181,0.00032586296779063236
embN_036,0.00032584014438601864
embH_033,0.00032407434118785015
embH_099,0.00032063450966958505
embN_228,0.0003196227117060513
embH_070,0.00031945054465701907
embN_004,0.00031928439107897983
embN_177,0.0003190490458010372
embN_239,0.00031761833015782814
embH_108,0.00031690605292874536
embH_045,0.00031671529517151724
embH_203,0.00031577009225505466
embH_093,0.000315572349366937
embN_072,0.00031485503655873895
embN_206,0.00031456382878250266
embN_077,0.0003142643332757667
embN_229,0.0003139216610135123
embH_139,0.0003097585501489154
embN_231,0.00030664166929429633
embH_234,0.000305809441547134
embN_227,0.00030428202131192717
embN_200,0.00030403982760946965
embN_080,0.00030243377227964844
embN_205,0.00030074482112313735
embH_152,0.000299995814164099
embN_051,0.00029679524325211884
embN_164,0.00029337729449750624
embN_015,0.00029301288848680853
embH_227,0.0002927520836383447
embH_191,0.00029147127568817993
embN_090,0.0002904015948034183
embN_031,0.00028993733374260456
embH_235,0.0002897302752123053
